market_ticker,market_title,event_id,event_type,confidence_score,mapping_method
FOMC0_24JAN,Will Fed Rate be between 2.0% and 3.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC1_24JAN,Will Fed Rate be between 3.0% and 4.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC2_24JAN,Will Fed Rate be between 4.0% and 5.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC0_24FEB,Will Fed Rate be between 2.0% and 3.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC1_24FEB,Will Fed Rate be between 3.0% and 4.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC2_24FEB,Will Fed Rate be between 4.0% and 5.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC0_24MAR,Will Fed Rate be between 2.0% and 3.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC1_24MAR,Will Fed Rate be between 3.0% and 4.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC2_24MAR,Will Fed Rate be between 4.0% and 5.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC0_24APR,Will Fed Rate be between 2.0% and 3.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC1_24APR,Will Fed Rate be between 3.0% and 4.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC2_24APR,Will Fed Rate be between 4.0% and 5.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC0_24MAY,Will Fed Rate be between 2.0% and 3.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC1_24MAY,Will Fed Rate be between 3.0% and 4.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC2_24MAY,Will Fed Rate be between 4.0% and 5.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC0_24JUL,Will Fed Rate be between 2.0% and 3.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC1_24JUL,Will Fed Rate be between 3.0% and 4.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC2_24JUL,Will Fed Rate be between 4.0% and 5.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC0_24AUG,Will Fed Rate be between 2.0% and 3.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC1_24AUG,Will Fed Rate be between 3.0% and 4.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC2_24AUG,Will Fed Rate be between 4.0% and 5.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC0_24SEP,Will Fed Rate be between 2.0% and 3.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC1_24SEP,Will Fed Rate be between 3.0% and 4.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC2_24SEP,Will Fed Rate be between 4.0% and 5.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC0_24OCT,Will Fed Rate be between 2.0% and 3.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC1_24OCT,Will Fed Rate be between 3.0% and 4.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC2_24OCT,Will Fed Rate be between 4.0% and 5.0%?,FOMC_20200129,FOMC,0.335,regex
FOMC0_24NOV,Will Fed Rate be between 2.0% and 3.0%?,FOMC_20200129,FOMC,0.335,regex
